,Type,"Rated
Current
(A)",Switch Disconnector,,,TSE (Changeover Switch),,,"TSE (Changeover Switch) with
Enclosure",,
,,,Cat.Nos,"MRP*/ ` /
Unit",Pack,Cat.Nos,"MRP*/ ` /
Unit",Pack,Cat.Nos,"MRP*/ `
Unit","/
Pack"
,"DIN Line
Frame 1
(3P + N)",32A,"4240 06
4240 07
4240 08",3120,"1
1
1",4241 06,"5580
5830
6800",1,,,
,,40A,,3270,,4241 07,,1,,,
,,63A,,3890,,4241 08,,1,,,
,"POWER
Line
Frame 1
(4P)",63A,"4240 82
4240 83
4240 84
4240 85",4650,"1
1
1
1",4241 82,8184,1,4241 92,12200,1
,,100A,,8590,,4241 83,10280,1,4241 93,14830,1
,,125A,,10540,,4241 84,14020,1,4241 94,17030,1
,,160A,,14220,,4241 85,15960,1,4241 95,21940,1
,"POWER
Line
Frame 2
(4P)",200A,"4240 86
4240 87
4240 88",15450,"1
1
1",4241 86,21342,1,4241 96,26182,1
,,250A,,18060,,4241 87,29460,1,4241 97,35290,1
,,320A,,19950,,4241 88,30180,1,4241 98,36980,1
