Type,"Thermal
Release
Range
(A)","Breaking
Capacity Icu
at 415V AC,
50Hz. (kA)","3 Pole
M.R.P.
Cat. No. (`)
Per Unit",,"4 Pole
M.R.P.
Cat. No. (`)
Per Unit",,"Std.
Pkg.
(Nos.)"
DZ1-160D,11-16,36,DZ1T0016DXC1A,10890,DZ1F0016DXC1A,13790,1
,14-20,,DZ1T0020DXC1A,10890,DZ1F0020DXC1A,13790,1
,17-25,,DZ1T0025DXC1A,10890,DZ1F0025DXC1A,13790,1
,22-32,,DZ1T0032DXC1A,10890,DZ1F0032DXC1A,13790,1
,27-40,,DZ1T0040DXC1A,10890,DZ1F0040DXC1A,13790,1
,34-50,,DZ1T0050DXC1A,10890,DZ1F0050DXC1A,13790,1
,43-63,,DZ1T0063DXD1A,10700,DZ1F0063DXD1A,13550,1
,54-80,,DZ1T0080DXD1A,10700,DZ1F0080DXD1A,13550,1
,67-100,,DZ1T0100DXD1A,10700,DZ1F0100DXD1A,13550,1
,84-125,,DZ1T0125DXD1A,12380,DZ1F0125DXD1A,15370,1
,108-160,,DZ1T0160DXD1A,16390,DZ1F0160DXD1A,19470,1
DN2-250D,100-125,,CM92008OOL1OG,15480,CM92108OOL1OG,19210,1
,125-160,,CM92008OOM1OG,20490,CM92108OOM1OG,24340,1
,160-200,,CM92009OON1OG,22700,CM92109OON1OG,29000,1
,200-250,,CM92009OOP1OG,25480,CM92109OOP1OG,30740,1
DN3B-400D,250-320,,CM98401OOQOOG,30750,CM98403OOQOOG,37500,1
,320-400,,CM98401OOROOG,30750,CM98403OOROOG,37500,1
DN3-400D,250-320,,CM94005OOQ1OG,*,CM94105OOQ1OG,*,1
,320-400,,CM94005OOR1OG,*,CM94105OOR1OG,*,1
DN3-630D,400-500,,CM94006OOS1OG,41980,CM94106OOS1OG,51840,1
,500-630,,CM94006OOT1OG,41980,CM94106OOT1OG,51840,1
DZ1-160N,11-16,50,DZ1T0016NXC1A,14110,DZ1F0016NXC1A,17320,1
,14-20,,DZ1T0020NXC1A,14110,DZ1F0020NXC1A,17320,1
,17-25,,DZ1T0025NXC1A,14110,DZ1F0025NXC1A,17320,1
,22-32,,DZ1T0032NXC1A,14110,DZ1F0032NXC1A,17320,1
,27-40,,DZ1T0040NXC1A,14110,DZ1F0040NXC1A,17320,1
,34-50,,DZ1T0050NXC1A,14110,DZ1F0050NXC1A,17320,1
,43-63,,DZ1T0063NXD1A,13730,DZ1F0063NXD1A,16850,1
,54-80,,DZ1T0080NXD1A,13730,DZ1F0080NXD1A,16850,1
,67-100,,DZ1T0100NXD1A,13730,DZ1F0100NXD1A,16850,1
,84-125,,DZ1T0125NXD1A,18460,DZ1F0125NXD1A,21470,1
,108-160,,DZ1T0160NXD1A,20930,DZ1F0160NXD1A,25270,1
DN2-250N,100-125,,CM92005OOL1OG,21600,CM92105OOL1OG,26190,1
,125-160,,CM92005OOM1OG,24490,CM92105OOM1OG,30830,1
,160-200,,CM92006OON1OG,25080,CM92106OON1OG,34190,1
,200-250,,CM92006OOP1OG,27370,CM92106OOP1OG,35030,1
DN3-400N,250-320,,CM94003OOQ1OG,33220,CM94103OOQ1OG,40740,1
,320-400,,CM94003OOR1OG,33220,CM94103OOR1OG,40740,1
DN3-630N,400-500,,CM94004OOS1OG,45290,CM94104OOS1OG,57340,1
,500-630,,CM94004OOT1OG,45290,CM94104OOT1OG,57340,1
DN2-250S,100-125,70,CM92002OOL1OG,30750,CM92102OOL1OG,35580,1
,125-160,,CM92002OOM1OG,32230,CM92102OOM1OG,38020,1
,160-200,,CM92003OON1OG,36560,CM92103OON1OG,44980,1
,200-250,,CM92003OOP1OG,37710,CM92103OOP1OG,45390,1
DN3-400S,250-320,,CM94001OOQ1OG,40010,CM94101OOQ1OG,46540,1
,320-400,,CM94001OOR1OG,40010,CM94101OOR1OG,46540,1
DN3-630S,400-500,,CM94002OOS1OG,53100,CM94102OOS1OG,63860,1
,500-630,,CM94002OOT1OG,53100,CM94102OOT1OG,63860,1
