Type,"Release
Range
(A)","Breaking
Capacity Icu
at 415V AC,
50Hz. (kA)","3 Pole
M.R.P.
Cat. No. (`)
Per Unit",,"4 Pole
M.R.P.
Cat. No. (`)
Per Unit",,"Std.
Pkg.
(Nos.)"
DZ1-160D#,10-40,36,DZ1T0040DXH1A,33510,DZ1F0040DXH1A,38580,1
,16-63,,DZ1T0063DXH1A,33510,DZ1F0063DXH1A,38580,1
,25-100,,DZ1T0100DXH1A,33510,DZ1F0100DXH1A,38580,1
,40-160,,DZ1T0160DXH1A,38070,DZ1F0160DXH1A,47200,1
DN2-250D,16-40,,CM92063OOOOAG,37530,CM92155OOOOAG,43210,1
,25-63,,CM92071OOOOAG,37530,CM92154OOOOAG,43210,1
,40-100,,CM92051OOOOAG,37530,CM92153OOOOAG,43210,1
,63-160,,CM92074OOOOAG,42640,CM92152OOOOAG,52860,1
,100-250,,CM92054OOOOAG,44320,CM92151OOOOAG,54490,1
DN3-400D,160-400,,CM93001OOOOAG,53500,CM93003OOOOAG,61980,1
DN3-630D,250-630,,CM93005OOOOAG,57990,CM93007OOOOAG,70940,1
DZ1-160N#,10-40,50,DZ1T0040NXH1A,36440,DZ1F0040NXH1A,43480,1
,16-63,,DZ1T0063NXH1A,36440,DZ1F0063NXH1A,43480,1
,25-100,,DZ1T0100NXH1A,36440,DZ1F0100NXH1A,43480,1
,40-160,,DZ1T0160NXH1A,43920,DZ1F0160NXH1A,52350,1
DN2-250N,16-40,,CM92064OOOOAG,40810,CM92160OOOOAG,48700,1
,25-63,,CM92072OOOOAG,40810,CM92159OOOOAG,48700,1
,40-100,,CM92052OOOOAG,40810,CM92158OOOOAG,48700,1
,63-160,,CM92075OOOOAG,46990,CM92157OOOOAG,56540,1
,100-250,,CM92055OOOOAG,47320,CM92156OOOOAG,57540,1
DN3-400N,160-400,,CM93002OOOOAG,56760,CM93004OOOOAG,66480,1
DN3-630N,250-630,,CM93006OOOOAG,61660,CM93008OOOOAG,79450,1
DN4-1250N,320-800,,CM96021OOOOAG,98820,CM96111OOOOAG,118460,1
,400-1000,,CM96022OOOOAG,127280,CM96112OOOOAG,170320,1
,500-1250,,CM96023OOOOAG,149120,CM96113OOOOAG,192910,1
DN2-250S,16-40,70,CM92065OOOOAG,42680,CM92165OOOOAG,50780,1
,25-63,,CM92073OOOOAG,42680,CM92164OOOOAG,50780,1
,40-100,,CM92059OOOOAG,42680,CM92163OOOOAG,50780,1
,63-160,,CM92076OOOOAG,51250,CM92162OOOOAG,61040,1
,100-250,,CM92056OOOOAG,57250,CM92161OOOOAG,73590,1
DN3-400S,160-400,,CM94053OOOOAG,71390,CM94153OOOOAG,89330,1
DN3-630S,250-630,,CM94079OOOOAG,77300,CM94179OOOOAG,108100,1
DN4-1250S,320-800,,CM96025OOOOAG,114860,CM96115OOOOAG,143650,1
,400-1000,,CM96026OOOOAG,154320,CM96116OOOOAG,208910,1
,500-1250,,CM96027OOOOAG,183170,CM96117OOOOAG,240340,1
