"CTX3
capacitor switching units Cat.Nos 4168 74/75/76/77
Capacitor unit is connected to the terminals of the contactor to
reduce the high inrush current.
IEC 60947-4-1 AC 6b",,,,,,
Type,Contactor,,Maximum operating power (kVAr),,,"Max. Peak
current
(A)"
,,,220 - 240 V,400 - 480 V,500 - 550 V,
4168 74,CTX3 22,9 A,5,9.7,14,560
,CTX3 22,12 A,6.7,12.5,18,
,CTX3 22,18 A,8.5,16.7,24,850
,CTX3 22,22 A,10,18,26,
,CTX3 40,32 A,15,25,36,1900
,CTX3 40,40 A,20,33.3,48,
4168 75/76,CTX3 65,50 A,20,40,58,2160
,CTX3 65,65 A,25,45.7,66,
4168 77,CTX3 100,75 A,29.7,54,78,3040
,CTX3 100,85 A,35,60,92,
,CTX3 100,100 A,37,62,94,3040
"Without
Capacitor
Switching
Unit as per
IEC 60947-4-1
AC 6b",CTX3 150,150 A,,70,,
,CTX3 225,185 A,,84,120,3500
,CTX3 225,225 A,,115,130,
,CTX3 400,265 A,,125,140,5000
,CTX3 400,330 A,,139,185,
,CTX3 400,400 A,,185,195,8000
,CTX3 800,500 A,,220,330,
,CTX3 800,630 A,,291,340,12000
,CTX3 800,800 A,,369,370,
