Type,"Release
Range
(A)","Breaking
Capacity Icu
at 415V AC,
50Hz. (kA)","3 Pole
M.R.P.
Cat. No. (`)
Per Unit",,"4 Pole
S
M.R.P. P
Cat. No. (`) (N
Per Unit",
DN2-250D,16 - 40,36,CM92063OOOOBG,,CM92155OOOOBG,
,25 - 63,,CM92071OOOOBG,,CM92154OOOOBG,
,40 - 100,,CM92051OOOOBG,,CM92153OOOOBG,
,63 - 160,,CM92074OOOOBG,,CM92152OOOOBG,
,100 - 250,,CM92054OOOOBG,,CM92151OOOOBG,
DN3-400D,160 - 400,,CM93001OOOOBG,,CM93003OOOOBG,
DN3-630D,250 - 630,,CM93005OOOOBG,,CM93007OOOOBG,
DN2-250N,16 - 40,50,CM92064OOOOBG,,CM92160OOOOBG,
,25 - 63,,CM92072OOOOBG,,CM92159OOOOBG,
,40 - 100,,CM92052OOOOBG,,CM92158OOOOBG,
,63 - 160,,CM92075OOOOBG,,CM92157OOOOBG,
,100 - 250,,CM92055OOOOBG,,CM92156OOOOBG,
DN3-400N,160 - 400,,CM93002OOOOBG,,CM93004OOOOBG,
DN3-630N,250 - 630,,CM93006OOOOBG,,CM93008OOOOBG,
DN4-1250N,320 - 800,,CM96021OOOOBG,,CM96111OOOOBG,
,400 - 1000,,CM96022OOOOBG,,CM96112OOOOBG,
,500 - 1250,,CM96023OOOOBG,,CM96113OOOOBG,
DN2-250S,16 - 40,70,CM92065OOOOBG,,CM92165OOOOBG,
,25 - 63,,CM92073OOOOBG,,CM92164OOOOBG,
,40 - 100,,CM92059OOOOBG,,CM92163OOOOBG,
,63 - 160,,CM92076OOOOBG,,CM92162OOOOBG,
,100 - 250,,CM92056OOOOBG,,CM92161OOOOBG,
DN3-400S,160 - 400,,CM94053OOOOBG,,CM94153OOOOBG,
DN3-630S,250 - 630,,CM94079OOOOBG,,CM94179OOOOBG,
DN4-1250S,320 - 800,,CM96025OOOOBG,,CM96115OOOOBG,
,400 - 1000,,CM96026OOOOBG,,CM96116OOOOBG,
,500 - 1250,,CM96027OOOOBG,,CM96117OOOOBG,
