800V AC Manual Fix/Draw-out ACB with UW-MTX1G,,,,,,,,,,
"Current
Rating",Frame,"Breaking
Capacity
@
800V AC",3P,,,,4P,,,
,,,Fix Draw-out,,,,Fix,,Draw-out,
,,,Cat. No.,"M.R.P.
(`) Cat. No.
Per Unit",,"M.R.P.
(`)
Per Unit","M.R.P.
Cat. No. (`)
Per Unit",,Cat. No.,"M.R.P.
(`)
Per Unit"
800A,1,50kA,UW108NXF0180ZM,"UW108NXD0180ZM
UW110NXD0180ZM
UW112NXD0180ZM *
UW116NXD0180ZM
UW120NXD0180ZM",,*,UW108NFF0180ZM,*,UW108NFD0180ZM,*
1000A,,,UW110NXF0180ZM,,,,UW110NFF0180ZM,,UW110NFD0180ZM,
1250A,,,UW112NXF0180ZM,,,,UW112NFF0180ZM,,UW112NFD0180ZM,
1600A,,,UW116NXF0180ZM,,,,UW116NFF0180ZM,,UW116NFD0180ZM,
2000A,,,UW120NXF0180ZM,,,,UW120NFF0180ZM,,UW120NFD0180ZM,
2000A,2,50kA,UW220NXF0180ZM,"UW220NXD0180ZM
UW225NXD0180ZM
*
UW232NXD0180ZM
UW240NXD0180ZM",UW220NXD0180ZM,*,UW220NFF0180ZM,*,UW220NFD0180ZM,*
2500A,,,UW225NXF0180ZM,,,,UW225NFF0180ZM,,UW225NFD0180ZM,
3200A,,,UW232NXF0180ZM,,,,UW232NFF0180ZM,,UW232NFD0180ZM,
4000A,,,-,,,,-,,UW240NFD0180ZM,
3200A,3,50kA,UW332NXF0180ZM,"UW332NXD0180ZM
UW340NXD0180ZM *
UW350NXD0180ZM",UW332NXD0180ZM,*,UW332NFF0180ZM,*,UW332NFD0180ZM,*
4000A,,,UW340NXF0180ZM,,,,UW340NFF0180ZM,,UW340NFD0180ZM,
5000A,,,UW350NXF0180ZM,,UW350NXD0180ZM,,UW350NFF0180ZM,,UW350NFD0180ZM,
3200A,3,65kA,UW332SXF0180ZM,"UW332SXD0180ZM
UW340SXD0180ZM *
UW350SXD0180ZM",,*,UW332SFF0180ZM,*,UW332SFD0180ZM,*
4000A,,,UW340SXF0180ZM,,,,UW340SFF0180ZM,,UW340SFD0180ZM,
5000A,,,UW350SXF0180ZM,,,,UW350SFF0180ZM,,UW350SFD0180ZM,
