Description,Cat. No.,"M.R.P.
(`)
Per Unit"
Mechanical Interlock using Key & Lock $,,
R - Lock Type - 1,CL00659OOOO,*
R - Lock Type - 2,CL00660OOOO,
R - Lock Type - 3,CL00661OOOO,
R - Lock Type - 12,CL00662OOOO,
R - Lock Type - 23,CL00663OOOO,
"Locking arrangement for OFF button
with R - Lock (on breaker)",CL90815OOOO,
"Locking arrangement for ISO position
with R - Lock (on Cradle)",CL90865OOOO,
"Locking arrangement for ANY position
with R - Lock (on Cradle)",CL90927OOOO,
C - Lock Type - S,CL00664OOOO,
C - Lock Type - T,CL00665OOOO,
C - Lock Type - ST,CL00666OOOO,
C - Lock Type - SS,CL00667OOOO,
C - Lock Type - TT,CL00668OOOO,
"Locking arrangement for OFF button
with C - Lock (on breaker)",CL90814OOOO,
"Locking arrangement for ISO position
for C - Lock (on Cradle)",CL90982OOOO,
"Locking arrangement for ANY position
with C - Lock (on Cradle)",CL90981OOOO,
