,"5757 02
5757 12
5757 22
5757 32
5757 42
5757 52
5757 62
5757 72
5757 82
5757 92
5758 02
5750 72",Graphite plate - 1 module,"412
436
464
524
894
992
1258
1636
1856
2170
2466
702",10/100
,,Graphite plate - 2 module,,10/100
,,Graphite plate - 3 module,,10/100
,,Graphite plate - 4 module,,5/50
,,Graphite plate - 6 module,,5/30
,,Graphite plate - 8 module,,5/30
,,Graphite plate - 2x4 module,,2/20
,,Graphite plate - 2x6 module,,2/16
,,Graphite plate - 2x8 module,,2/16
,,Graphite plate - 3x6 module,,2/12
,,Graphite plate - 3x8 module,,2/12
,,"Graphite plate for shaver
socket 3 module",,5/50
