Microprocessor Based SR18G,,,
3 Pole,,4 Pole,
Cat. No.,"M.R.P.
(`)
Per Unit",Cat. No.,"M.R.P.
(`)
Per Unit"
SL95311,306020,#,396500
SL95321,352520,#,443000
SL95312,311570,#,421400
SL95322,358070,#,467900
SL95313,340700,#,451870
SL95323,387200,#,498370
SL95314,383410,#,497480
SL95324,429910,#,543980
SL95315,431890,#,527710
SL95325,478390,#,574210
SL95316,440960,#,532030
SL95326,487460,#,578530
SL94822,447610,SL94826,549380
SL94824,494110,SL94828,595880
SL94823,518210,SL94827,672170
SL94825,564710,SL94829,718670
#,*,#,*
#,*,#,*
