Description,Cat. No.,"M.R.P.
(`)
P e r U n i t"
Lockable Trip Push Button (LTPB) [8301],,
Type AA,SL93148OOOA,4360
Type BB,SL93148OOOB,4360
Type CC,SL93148OOOC,4360
Type DD,SL93148OOOD,4360
Lockable Trip Push Button kit (3 I/C & 2 B/C),SL91936OOOO,21780
Locking of ACB in Isolated position (LIP) [8301],,
Type A,SL93146OOOA,4360
Type B,SL93146OOOB,4360
Type C,SL93146OOOC,4360
Type D,SL93146OOOD,4360
Locking of ACB in Any position (LAP) [8301],,
Type A,SL93147OOOA,4660
Type B,SL93147OOOB,4660
Type C,SL93147OOOC,4660
Type D,SL93147OOOD,4660
Racking Interlock [8301],,
Type A A,SL93149OOOA,6010
Type B B,SL93149OOOB,6010
Type C C,SL93149OOOC,6010
Type D D,SL93149OOOD,6010
Padlock [8301],,
Racking Padlock Assembly,CL90025OOOO,2040
Other Accessories [8538],,
Door Interlock,SL93150OOOO,3200
Mechanical Operation Counter*,XM80837OOOO,3160
Mounting Kit for Front Mounted Counter,SL95882OOOO,1120
Spring Charge Indication Microswitch,SL96000OOOO,2540
