"kVAr
Rating",7% Copper Reactor,,7% Aluminium Reactor,,14% Copper Reactor,,14% Aluminium Reactor,
,Cat. No.,"M.R.P. (`)
Per Unit",Cat. No.,"M.R.P. (`)
Per Unit",Cat. No.,"M.R.P. (`)
Per Unit",Cat. No.,"M.R.P. (`)
Per Unit"
1,LTFR0701B2,9185,LTAL0701B2,6665,LTFR1401B2,17855,LTAL1401B2,11000
2,LTFR0702B2,10030,LTAL0702B2,7270,LTFR1402B2,19465,LTAL1402B2,11980
3,LTFR0703B2,11370,LTAL0703B2,8235,LTFR1403B2,22075,LTAL1403B2,13575
4,LTFR0704B2,12085,LTAL0704B2,8755,LTFR1404B2,23470,LTAL1404B2,14440
5,LTFR0705B2,13075,LTAL0705B2,9465,LTFR1405B2,25375,LTAL1405B2,15620
10,LTFR0710B2,18535,LTAL0710B2,13435,LTFR1410B2,35970,LTAL1410B2,22155
12.5,LTFR0712B2,20340,LTAL0712B2,14740,LTFR1412B2,39460,LTAL1412B2,24320
15,LTFR0715B2,21755,LTAL0715B2,15770,LTFR1415B2,42220,LTAL1415B2,26015
20,LTFR0720B2,25930,LTAL0720B2,18785,LTFR1420B2,50285,LTAL1420B2,30990
25,LTFR0725B2,27435,LTAL0725B2,19875,LTFR1425B2,53215,LTAL1425B2,32805
50,LTFR0750B2,43525,LTAL0750B2,31535,LTFR1450B2,84440,LTAL1450B2,52035
75,LTFR0775B2,64695,LTAL0775B2,46895,LTFR1475B2,125515,LTAL1475B2,77365
100,LTFR0700B2,88945,LTAL0700B2,64440,LTFR1400B2,172435,LTAL1400B2,106325
