"Step Size &
440 V
Reactor rating
(kVAr)",With 7% detuned reactor,,,With 14% detuned reactor,
,Capacitor series,"480 V Capacitor
(kVAr)","525 V Capacitor
(kVAr)",Capacitor series,"525 V Capacitor
(kVAr)"
1,"LTCCF, LTCCR",1.2,1.3,"LTCCF, LTCCR",1.3
2,"LTCCF, LTCCR",2.2,2.6,"LTCCF, LTCCR",2.6
3,"LTCCF, LTCCR",3.3,3.9,"LTCCF, LTCCR",3.9
4,LTCCF,4.4,5.3,LTCCF,5.3
,LTCCR,,5,LTCCR,5
5,"LTCCF, LTCCH, LTCCR, LTBCH, LTBCP",5.5,6.6,"LTCCF, LTCCH, LTCCR, LTBCH, LTBCP",6.6
,"LTCCN, LTCCU, LTBCU",7.5,7.5,"LTCCN, LTCCU, LTBCU",7.5
10,"LTCCD, LTCCH, LTCCR, LTBCD, LTBCH, LTBCP",11.1,13.2,"LTCCD, LTCCH, LTCCR, LTBCD, LTBCH, LTBCP",13.2
,"LTCCN, LTCCU, LTBCU",12.5,12.5,"LTCCN, LTCCU, LTBCU",12.5
12.5,"LTCCN, LTCCR, LTCCU, LTBCH, LTBCU",15,15,"LTCCN, LTCCR, LTCCU, LTBCH, LTBCU",15
,"LTCCD, LTCCH, LTBCD, LTBCP",13.8,16.6,"LTCCD, LTCCH, LTBCD, LTBCP",16.6
15,"LTCCN, LTCCR, LTCCU, LTBCH, LTBCU",20,20,"LTCCD, LTCCN, LTCCH, LTCCR, LTCCU,
LTBCD, LTBCH, LTBCP, LTBCU",20
,"LTCCD, LTCCH, LTBCD, LTBCP",16.6,,,
20,"LTCCN, LTCCR, LTBCH, LTBCU",25,25,"LTCCN, LTCCR, LTBCH, LTBCU",25
,"LTCCD, LTCCH, LTBCD, LTBCP",22.1,26.5,"LTCCD, LTCCH, LTBCD, LTBCP",26.5
,LTCCU,7.5 + 15,2 x 12.5,LTCCU,2x12.5
25,"LTCCD, LTCCH, LTCCR, LTBCD, LTBCH, LTBCP",27.7,33.1,"LTCCD, LTCCN, LTCCH, LTCCR,
LTBCD, LTBCH, LTBCP, LTBCU",30
,"LTBCU, LTCCN",30,,,
,LTCCU,12.5 + 15,15 + 20,LTCCU,(10+20)
50,"LTCCD, LTCCH, LTCCR, LTBCD, LTBCH",2 x 27.7,2 x 33.1,"LTCCD, LTCCN, LTCCH, LTCCR,
LTBCD, LTBCH, LTBCP, LTBCU",2 x 30
,"LTBCU, LTCCN",2 x 30,,,
,LTCCU,2 x (12.5 + 15),2 x (15 + 20),LTCCU,3 x 20
,LTBCP,55.3,66.2,,
75,"LTCCD, LTCCH, LTCCR, LTBCD, LTBCH",3 x 27.7,3 x 33.1,"LTCCD, LTCCN, LTCCH, LTCCR,
LTBCD, LTBCH, LTBCP, LTBCU",3 x 30
,"LTBCU, LTCCN",3 x 30,,,
,LTCCU,3 x (12.5 + 15),3 x (15 + 20),LTCCU,(4 x 20) + 10
,LTBCP,27.7 + 55.3,33.1 + 66.2,,
100,"LTCCD, LTCCH, LTCCR, LTBCD, LTBCH, LTBCP",4 x 27.7,4 x 33.1,"LTCCD, LTCCN, LTCCH, LTCCR,
LTBCD, LTBCH, LTBCP, LTBCU",4 x 30
,"LTBCU, LTCCN",4 x 30,,,
,LTCCU,4 x (12.5 + 15),4 x (15 + 20),LTCCU,6 x 20
,LTBCP,2 x 55.3,2 x 66.2,,
