"SOCKET
MOUNTING
POSITION",CAPACITY,"FLOOR
BOX
SUPPORT
KITS",BACKBOXES,,"LIDS & TRIMS
FLOORING THICKNESS ≤ 8 MM",,,"FINISHING
PLATES
(OPTIONAL)",
,,,"AUTO-ADJUSTING
BACKBOX
FOR SCREED HEIGHT
UP TO 90 MM","UNIVERSAL
ADJUSTABLE
BACKBOX
FOR SCREED HEIGHT
UP TO 125 MM",,,,,
,,,0 880 91,0 880 80,"Plastic lid and trim Stainless steel lid and trim
0 880 02 0 880 05",,,0 880 47,
"Adjustable
horizontal
H min: 80 mm","12 (3 x 4)
modules",0 880 20,"0 880 90(1)
screed height ≥ 80 mm","0 880 80 + 0 880 81
screed height ≥ 100 mm",Plastic,,0 880 00,ST steel(2),0 880 15
,,,,,Metal,ST steel(2),0 880 03,ST steel(2),0 880 45
,"18 (3 x 6)
modules",0 880 21,"0 880 91(1)
screed height ≥ 80 mm","0 880 80 + 0 880 82
screed height ≥ 100 mm",Plastic,,0 880 01,ST steel(2),0 880 16
,,,,,Metal,ST steel(2),0 880 04,ST steel(2),0 880 46
,"24 (3 x 8)
modules",0 880 22,"0 880 92(1)
screed height ≥ 80 mm","0 880 80 + 0 880 83
screed height ≥ 100 mm",Plastic,,0 880 02,ST steel(2),0 880 17
,,,,,Metal,ST steel(2),0 880 05,ST steel(2),0 880 47
"Fixed
horizontal
H: 96 mm","12 (3 x 4)
modules",0 880 30,-,0 880 80 + 0 880 81,Plastic,,0 880 00,ST steel(2),0 880 15
,,,,,Metal,ST steel(2),0 880 03,ST steel(2),0 880 45
,"18 (3 x 6)
modules",0 880 31,-,0 880 80 + 0 880 82,Plastic,,0 880 01,ST steel(2),0 880 16
,,,,,Metal,ST steel(2),0 880 04,ST steel(2),0 880 46
,"24 (3 x 8)
modules",0 880 32,- O,R 0 880 80 + 0 880 83,Plastic,,0 880 02,ST steel(2),0 880 17
,,,,,Metal,ST steel(2),0 880 05,ST steel(2),0 880 47
"Vertical
H min: 68 mm",8 (2 x 4) modules,0 880 23,0 880 90 O,R 0 880 80 + 0 880 81,Plastic,,0 880 00,ST steel(2),0 880 15
,,,,,Metal,ST steel(2),0 880 03,ST steel(2),0 880 45
,"12 (2 x 6)
modules",0 880 24,0 880 91 O,R 0 880 80 + 0 880 82,Plastic,,0 880 01,ST steel(2),0 880 16
,,,,,Metal,ST steel(2),0 880 04,ST steel(2),0 880 46
,"16 (2 x 8)
modules",0 880 25,0 880 92,0 880 80 + 0 880 83,Plastic,,0 880 02,ST steel(2),0 880 17
,,,,,Metal,ST steel(2),0 880 05,ST steel(2),0 880 47
