Category,Description,Cat. No.,"M.R.P.
(`)
Per Unit"
b-XT Series,"4.1'' Mono green LCD,DC24V",LTOP-B04DSAA,*
,"4.1'' Mono green LCD,DC24V,RTC",LTOP-B04DSAR,*
s-XT Series,"4’’ TFT, Ethernet, DC24V",LTOP-S04EDAA,*
,"4’’ TFT, Ethernet, DC24V",LTOP-S04EDAB*,*
,"7’’ TFT, Ethernet, DC24V",LTOP-S07EDAB*,*
,"7’’ TFT, Ethernet, DC24V, SD Card slot",LTOP-S07EDAC**,*
,"10.2’’ TFT, Ethernet, DC24V",LTOP-S10EDAB*,*
,"10.2’’ TFT, Ethernet, DC24V, SD card Slot",LTOP-S10EDAC**,*
i-XT Series,"8.4"" TFT, Ethernet, DC24V",LTOP-I08EDAA,*
,"10.4"" TFT, Ethernet,DC12/24V",LTOP-I10EDAA,*
,"12.1"" TFT, Ethernet, DC12/24V",LTOP-I12EDAA,*
,"15"" TFT, Ethernet, DC12/24V",LTOP-I15EDAA,*
iXP2 Series,"i-XP2 10.4"" TFT,DC24V,WinCE",LTOP-A10EDAA,*
,"i-XP2 12.1"" TFT,DC24V,WinCE",LTOP-A12EDAA,*
,"i-XP2 15"" TFT,DC24V,WinCE",LTOP-A15EDAA,*
