"3695 80
3695 70
3695 60
3695 50",,,,,
,,"3695 80
3695 70
3695 60
3695 50
3695 00
3695 85
3695 75
3695 65
3695 55
3695 05
3695 96
3695 95
3695 97","Basic video kit 7""
hands free","16780
17742
15396
16450
8538
9830
11174
8832
9846
4878
7010
4118
896",1
,,,"Basic video kit 7""
handset",,1
,,,"Basic video kit 4.3""
hands free",,1
,,,"Basic video kit 4.3""
handset",,1
,,,Basic audio kit handset,,1
,,,"Basic video additional IU
7"" hands free",,1
,,,"Basic video additional IU
7"" handset",,1
,,,"Basic video additional IU
4.3"" hands free",,1
,,,"Basic video additional IU
4.3"" handset",,1
,,,"Basic audio additional
handset",,1
,,,Basic additional video EP,,1
,,,Basic additional audio EP,,1
,,,Basic EP angle bracket,,1
