IDH No.,Product Description,Pack Size,MRP `
627004,LOCTITE LB 100 Maintain,312 g,649
135544,LOCTITE SF 790,18 oz,"2,459"
1727806,LOCTITE SF 7039 Electrical Contact Cleaner,400 ml,"1,039"
849292,LOCTITE SF 7061 Surface Cleaner,100 ml,847
1423327,LOCTITE SF 7070 ODC-Free Cleaner & Degreaser,425 g,"3,334"
1423361,LOCTITE SF 7070 ODC-Free Cleaner & Degreaser,150 g,"1,454"
234941,LOCTITE SF 7611 Pro Strength Parts Cleaner,19 oz,"2,085"
1174633,LOCTITE SF 7629 Non Flammable Electric Contact Cleaner,12 oz,"5,094"
789705,LOCTITE SF 7840 Natural Blue,20 litre,"22,623"
789065,LOCTITE SF 7840 Natural Blue,5 litre,"6,873"
