IDH No.,Product Description,Pack Size,MRP
235638,LOCTITE ETCHING AGENT,85.2 ml,"7,563"
849293,LOCTITE SF 7075 Activator,100 ml,"1,615"
1063860,LOCTITE SF 7075 RED Activator,100 ml,"1,615"
2239855,LOCTITE SF 7282 Primer,100 ml,418
229848,LOCTITE SF 7387 Activator,946 ml,"25,557"
2792405,LOCTITE SF 7452,100 ml,"1,153"
849296,LOCTITE SF 7471 Primer,100 ml,"1,144"
849297,LOCTITE SF 7649 Activator,100 ml,"1,233"
2787915,LOCTITE SF 770 PRIMER,100 ml,"4,008"
1480162,POLYPRIME EP,5 litre,"13,205"
1480182,POLYPRIME R,5 litre,"19,806"
