Description,Cat. Nos.,"M.R.P.
(`)
Per Unit"
CEB for VTPN DBs,,
"CEB-VTPN Double Door,
Modular Incomer",DBVTMXXXCB,1075
"CEB-VTPN Double Door,
MCCB Incomer",DBVTXXXXCB,3830
CEB for FLEXI DBs,,
"CEB for Flexi DBs with
14 Modules per Row",DBROWX14CB,1070
"CEB for Flexi DBs with
16 Modules per Row",DBROWX16CB,1300
CEB for Phase Segregated DBs,,
"CEB-PSG Double Door, 4 way",DBPSG004CB,2815
"CEB-PSG Double Door, 6 way",DBPSG006CB,3355
"CEB-PSG Double Door, 8 way",DBPSG008CB,3720
"CEB-PSG Double Door, 12 way",DBPSG012CB,4130
CEB for Phase Selector DBs,,
"CEB-Phase Selector Double Door, 4 way",DBPSR004CB,1190
"CEB-Phase Selector Double Door, 6 way",DBPSR006CB,1340
"CEB-Phase Selector Double Door, 8 way",DBPSR008CB,2175
"CEB-Phase Selector Double Door, 10 way",DBPSR010CB,2505
"CEB-Phase Selector Double Door, 12 way",DBPSR012CB,2715
