,,Spare Contact kit,,Spare Coil,
,Type,Cat. No.,"M.R.P.
(`)
Per Unit",Cat. No.,"M.R.P.
(`)
Per Unit"
"srotcatnoC
OM",MO 9 (1 NO + 1 NC),CS94843^,530,CS94841^,475
,MO 12 (1 NO + 1 NC),CS94844^,685,,
,MO 18 (1 NO + 1 NC),CS94845^,750,,
,MO 9,CS96380^~,530,CS96317^,590
,MO 12,CS96381^~,685,,
,MO 18,CS96382^~,750,,
,MO 25,CS96383^~,860,,
,MO 32,CS96384^~,1950,,
,MO 40,CS96385^~,3295,,
,MO 45,CS96386^~,3335,,
,MO 50,CS96387^~,3370,CS96318^,1785
,MO 60,CS96388^~,4360,,
,MO 70,CS96389^~,4845,,
,MO 80,CS96390^~,6665,CS96319^,3090
,MO 95,CS96391^~,8410,,
,MO 110,CS96392^~,12300,,
,MO 140,CS90357~,14795,CS90356~,7170
,MO 185,CS90358~,17700,,
,MO 225,CS90359~,20300,,
,MO 250,CS94444~,24395,CS94442~,10685
,MO 300,CS94443~,27545,,
,MO 140 (electronic coil),CS90357~,14795,CS90855~,12935
,MO 185 (electronic coil),CS90358~,17700,,
,MO 225 (electronic coil),CS90359~,20300,,
,MO 250 (electronic coil),CS94444~,24395,CS90738~,13065
,MO 300 (electronic coil),CS94443~,27545,,
,MVO,-,-,CS90174~,29030
"srotcatnoC
XNM",MNX 9,CS94123^,530,CS94105^,475
,MNX 12,CS94124^,685,,
,MNX 18,CS94125^,750,,
,MNX 22,CS94269^,795,,
,MNX 25,CS94127^,860,,
,MNX 32,CS94128^,1950,,
,MNX 40,CS94147^,3295,,
,MNX 50,CS94150^,3370,CS94192^,1785
,MNX 70,CS94151^,4845,,
,MNX 80,CS94152^,6665,,
,MNX 95,CS94153~,8410,"~
CS94196",3090
,MNX 110,CS94154~,12300,,
,MNX 140,CS94155~,14795,,
,MNX 185,CS94156~,17700,"~
CS94194",7170
,MNX 225,CS94157~,20300,,
,MNX 250,CS90310~,24395,,
,MNX 300,CS90283~,27545,CS94195~,10685
,MNX 400,CS94161~,40350,,
,MNX 550,CS94162~,53200,CS94193~,21650
,MNX 650,CS96336~,82345,,
"srotcatnoC
XCM",MCX 01-04,-,-,CS94105^,475
,MCX 11,CS94077^,1715,CS94009^,660
,MCX 12,CS94078^,3360,,
,MCX 13,CS90307^,5155,,
,MCX 22,CS94331~,6040,ST91291*~,1575
,MCX 23,CS90078~,7555,,
,MCX 32,CS94082^,11690,"~
CS94196",3090
,MCX 33,CS94083^,15120,,
,MCX 34,CS94084^,17140,,
,MCX 41,CS94295~,26790,"~
CS94195",10685
,MCX 42,CS94296~,31465,,
,MCX 43,CS94297~,37750,,
,MCX 44,CS94298~,46240,,
,MCX 45,CS94299~,49370,CS94193~,21650
,MCX 46,CS94300~,57360,,
,MCX 47,CS90308~,77540,,
