"Type of
Mounting
(Operation)","Relay Range
(A)",Cat. No.,"M.R.P.
(`)
Per Unit","Std.
Pkg.
(Nos.)"
"MN 2
(Directly
Operated)",Direct Mounting on MNX 9 - 40,,,
,0.2 - 0.33,SS94141OOEO,1640,10
,0.3 - 0.5,SS94141OOGO,1640,10
,0.45 - 0.75,SS94141OOJO,1640,10
,0.6 - 1,SS94141OOKO,1640,10
,0.9 - 1.5,SS94141OOMO,1650,10
,1.4 - 2.3,SS94141OOPO,1650,10
,2 - 3.3,SS94141OOQO,1650,10
,3 - 5,SS94141OOSO,1650,10
,4.5 - 7.5,SS94141OOUO,1650,10
,6 - 10,SS94142OOVO,1650,10
,9 - 15,SS94142OOBO,1660,10
,14 - 23,SS94144OODO,1810,10
,20 - 33,SS94145OOEO,2665,10
,24 - 40,SS94145OOFO,2795,10
"MN 5
(Directly
Operated)",Direct Mounting on MNX 50 - 80,,,
,9 - 15,SS94135OOBO,3315,10
,14 - 23,SS94135OODO,3315,10
,20 - 33,SS94136OOEO,3315,10
,30 - 50,SS94136OOGO,4075,10
,36 - 60,SS94136OOTO,4385,10
,45 - 75,SS94137OOJO,4705,10
,66 - 110,SS94137OOKO,5370,10
"MN 12
(CT Operated)",Separate Mounting,,,
,28 - 46.5,SB94211OOGO,7825,1
,42 - 69,SS94138OOHO,7825,1
,60 - 100,SS94138OOKO,7825,1
,90 - 150,SS94138OOMO,7825,1
,135 - 225,SS94138OOPO,9790,1
,180 - 300,SS94139OOQO,10300,1
,270 - 450,SS94139OORO,12930,1
"MN 12L#
(CT Operated)",Separate Mounting,,,
,42 - 69,SS94127OOHO,25190,1
,60 - 100,SS94127OOKO,25190,1
,90 - 150,SS94127OOMO,25190,1
,135 - 225,SS94127OOPO,25190,1
,180 - 300,SS94127OOQO,25190,1
,340 - 570,SS94127OOSO,25190,1
