Description,Cat. No.,"M.R.P.
(`)
Per Unit","Std.
Pkg.
(Nos.)"
Connecting Busbar link,,,
2 MPCB 45 mm width w/o acc,ST41957OOOO,580,5
3 MPCB 45 mm width w/o acc,ST41958OOOO,640,5
4 MPCB 45 mm width w/o acc,ST41959OOOO,690,5
5 MPCB 45 mm width w/o acc,ST41960OOOO,880,5
2 MPCB 45 mm width with one acc 9 mm,ST41961OOOO,680,5
3 MPCB 45 mm width with one acc 9 mm,ST41962OOOO,735,5
4 MPCB 45 mm width with one acc 9 mm,ST41963OOOO,790,5
5 MPCB 45 mm width with one acc 9 mm,ST41964OOOO,845,5
2 MPCB 55 mm width w/o acc,ST41966OOOO,1060,1
3 MPCB 55 mm width w/o acc,ST41967OOOO,1210,1
4 MPCB 55 mm width w/o acc,ST41968OOOO,1450,1
2 MPCB 55 mm width with one acc 9 mm,ST41969OOOO,1155,1
3 MPCB 55 mm width with one acc 9 mm,ST41970OOOO,1305,1
4 MPCB 55 mm width with one acc 9 mm,ST41971OOOO,1545,1
2 MPCB 55 mm width with two acc 18 mm,ST41972OOOO,1350,1
4 MPCB 55 mm width with two acc 18 mm,ST41973OOOO,1500,1
Feed in terminal for 45 mm width Busbar,ST41965OOOO,680,1
Feed in terminal for 55 mm width Busbar,ST41974OOOO,1175,1
Bus bar safety cover 45 mm width Busbar,ST41975OOOO,295,10
Bus bar safety cover 55 mm width Busbar,ST41976OOOO,315,10
