Size,"Rated
Current
(A)","Auxiliary C
across the
Type","ontact Manual Changeover
range Open Execution",,"Manual Changeover
In Sheet Steel Enclosure#",,,"Motorised Changeover
Open Execution",,"Std.
Pkg.
(Nos.)"
,,,Cat. No.,"M.R.P.
(`)
Per Unit",Cat. No.,"M.R.P.
(`)
Per Unit",,Cat. No.,"M.R.P.
(`)
Per Unit",
Fr 1,63,CO1-63,CO10630OOOO,5040,CO10630OSOO,7780,,,,1
,63,CO1-63,CO10630OOOD,4950,,,,,,
,100,CO1-100,CO11000OOOO,6670,CO11000OSOO,9920,,,,1
,100,CO1-100,CO11000OOOD,6430,,,,,,
,125,CO1-125,CO11250OOOO,8680,CO11250OSOO,12380,,,,1
Fr 2,125,CO2-125,CO21250OOOO,10420,CO21250OSOO,14710,,CK90161BOOO,38270,1
,160,CO2-160,CO21600OOOO,11020,CO21600OSOO,16140,,CK90162BOOO,47640,1
,200,CO2-200,CO22000OOOA,13380,CO22000OSOO,18570,,CK90163BOOO,50900,1
Fr 3,250,CO3-250,CO32500OOOO,19360,CO32500OSOO,25940,,CK90164BOOO,62810,1
,315,CO3-315,CO33150OOOO,20170,CO33150OSOO,27060,,CK90165BOOO,65690,1
Fr 4,400,CO4-400,CO44000OOOO,29760,CO44000OSOO,39820,,CK90166BOOO,79100,1
,630,CO4-630,CO46300OOOO,34710,CO46300OSOO,46580,,CK90167BOOO,90970,1
Fr 5,630,CO5-630,CO56300OOOO,41200,-,-,,CK90168BOOO,99700,1
,800,CO5-800,CO58000OOOO,49400,CO58000OSOO,76150,,CK90169BOOO,133330,1
,1000,CO5-1000,CO51000OOOO,87390,CO51000OSOO,122090,,CK90170BOOO,174860,1
Fr 6,1250,CO6-1250,CO61250OOOO,118920,-,-,,CK90081BOOO,216030,1
,1600,CO6-1600,CO61600OOOO,139270,-,-,,CK90082BOOO,265220,1
,2000,CO6-2000,CO62000OOOO,214230,-,-,,CK90083BOOO,316310,1
