Description,Type,Cat. No.,"M.R.P.
(`)
Per Unit","Std.
Pkg.
(Nos.)"
"Auxiliary
Contact Kit
(2 sets of
C/O contact)",CO1-(63-125A),CX10002OOOO,450,1
,CO2-(125-200A),CX20002OOOO,850,1
,CO3-(250-315A),CX30002OOOO,1210,1
,CO4-(400-630A),CX40002OOOO,1290,1
,CO5-(630-1000A),CX50002OOOO,1460,1
,CO6-(1250-2000A),CX60002OOOO,1620,1
"Operating
Handle Kit
(handle + shaft +
center bush +
bush clip)",CO1-(63-125A),CX10001OOOO,740,1
,CO2-(125-200A),CX30001OOOO,1510,1
,CO3-(250-315A),CK90392OOOO,1610,1
,CO4-(400-630A),CX40001OOOO,1650,1
,CO5-(630-1000A),CX50001OOOO,1770,1
Operating Handle,CO6-(1250-2000A),CX60001OOOO,2010,1
"Castell Type
Lock$",CO-(125-1000A),CX40004OOOO,2660,1
,CO6-(1250-2000A),CX60004OOOO,2660,1
"Output
shorting link",CO1-(63-125A) Top Side,CX10005OOOT,780,1
,CO1-(63-125A) Bottom Side,CX10005OOOB,780,1
"Operating Handle
for Motorised
Changeover",C/O Frame 2 & 3 (125-315A),CK90374OOOO,1410,1
,C/O Frame 4 & 5 (400-1000A),CK90378OOOO,1770,1
,C/O Frame 6 (1250-2000A,CK90645OOOO,4400,1
