4P AC Switch Disconnector,,,,,
Frame,"Rating
690V, AC 23A",Handle Type,CAT No.,"M.R.P. (`)
Per Unit","Std. Pkg.
(Nos.)"
CZ1,125A,Extended,CK90769OOOO,7400,1
CZ1,160A,Extended,CK90770OOOO,9350,1
CZ1,200A,Extended,CK90771OOOO,10890,1
CZ1,250A,Extended,CK90772OOOO,12840,1
CZ1,315A,Extended,CK90773OOOO,13600,1
CZ2,315A,Extended,CK90857OOOO,15090,1
CZ2,400A,Extended,CK90858OOOO,19310,1
CZ2,630A,Extended,CK90859OOOO,24200,1
CZ1,125A,Direct,CK90799OOOO,7100,1
CZ1,160A,Direct,CK90800OOOO,8930,1
CZ1,200A,Direct,CK90801OOOO,10350,1
CZ1,250A,Direct,CK90802OOOO,12200,1
CZ1,315A,Direct,CK90803OOOO,12920,1
CZ2,315A,Direct,CK90872OOOO,14340,1
CZ2,400A,Direct,CK90873OOOO,18340,1
CZ2,630A,Direct,CK90874OOOO,22990,1
