,,AC SD,,,
"Operational Voltage
upto 800Vac",,,,,
"800Vac, 3P Switch Disconnectors",,,,,
Frame,Rating,,Handle Type,Cat. No.,"M.R.P. (`)
Per Unit"
CZ1,125A,,Direct,CK90757OOOO,*
CZ1,160A,,Direct,CK90758OOOO,*
CZ1,200A,,Direct,CK90759OOOO,*
CZ1,250A,,Direct,CK90760OOOO,*
CZ1,315A,,Direct,CK90761OOOO,*
CZ2,315A,,Direct,CK90851OOOO,*
CZ2,400A,,Direct,CK90852OOOO,*
CZ2,630A,,Direct,CK90853OOOO,*
CZ1,125A,,Extended,CK90763OOOO,*
CZ1,160A,,Extended,CK90764OOOO,*
CZ1,200A,,Extended,CK90765OOOO,*
CZ1,250A,,Extended,CK90766OOOO,*
CZ1,315A,,Extended,CK90767OOOO,*
CZ2,315A,,Extended,CK90854OOOO,*
CZ2,400A,,Extended,CK90855OOOO,*
CZ2,630A,,Extended,CK90856OOOO,*
