,,,DC SD,,,,
"Operational Voltage
1000Vdc & 1500Vdc",,,,,,,
DC Switch Disconnectors,,,,,,,
Frame,Rating,Voltage,,"No. of
Poles","Handle
Type",Cat. No.,"M.R.P. (`)
Per Unit"
CZ1,125A,1000Vdc,,2,Direct,CK90793OOOO,*
CZ1,160A,1000Vdc,,2,Direct,CK90794OOOO,*
CZ1,200A,1000Vdc,,2,Direct,CK90795OOOO,*
CZ1,250A,1000Vdc,,2,Direct,CK90796OOOO,*
CZ1,315A,1000Vdc,,2,Direct,CK90797OOOO,*
CZ2,315A,1000Vdc,,2,Direct,CK90869OOOO,*
CZ2,400A,1000Vdc,,2,Direct,CK90870OOOO,*
CZ2,630A,1000Vdc,,2,Direct,CK90871OOOO,*
CZ1,125A,1500Vdc,,2,Direct,CK90787OOOO,*
CZ1,160A,1500Vdc,,2,Direct,CK90788OOOO,*
CZ1,200A,1500Vdc,,2,Direct,CK90789OOOO,*
CZ1,250A,1500Vdc,,2,Direct,CK90790OOOO,*
CZ1,315A,1500Vdc,,2,Direct,CK90791OOOO,*
CZ2,315A,1500Vdc,,3,Direct,CK90866OOOO,*
CZ2,400A,1500Vdc,,3,Direct,CK90867OOOO,*
CZ2,630A,1500Vdc,,3,Direct,CK90868OOOO,*
