Size,"Rated
Current
(A)",Description,Cat. No.,"M.R.P.
(`)
Per Unit","Std.
Pkg.
(Nos.)"
000,63,"Suitable for Type
FN 100/125/160 / FNX 100/125/160 S-D-F
& for HB 160 Fuse base",SF94940,420,3
,80,,SF94941,450,3
,100,,SF94942,450,3
,125,,SF94946,515,3
00,63,"Suitable for Type
FN 100/125/160 / FNX 125/160 S-D-F
& for HB 160 Fuse base",SF94027,535,3
,80,,SF94028,535,3
,100,,SF94029,535,3
,125,,SF94030,560,3
,160,,SF94939,575,3
0,80,"Suitable for T ype
FN 200 / FNX 200 S-D-F
& for HB 250 Fuse base",SF94128,735,3
,100,,SF94129,735,3
,125,,SF94130,735,3
,160,,SF94131,745,3
,200,,SF94132,765,3
1,125,"Suitable for Type
FN 250/315 / FNX 250/315 S-D-F
& for HB 250 Fuse base",SF94230,780,3
,160,,SF94231,790,3
,200,,SF94232,795,3
,250,,SF94233,885,3
,315,,SF94234,1085,3
2,200,"Suitable for Type
FN 400 / FNX 400 S-D-F
& for HB 800 Fuse base",SF94332,1090,3
,250,,SF94333,1095,3
,315,,SF94334,1165,3
,400,,SF94335,1175,3
3,315,"Suitable for Type
FN 630/800 / FNX 630/800 S-D-F
& for HB 800 Fuse base",SF94434,1650,1
,400,,SF94435,1740,1
,500,,SF94436,1875,1
,630,,SF94437,1910,1
,800,,SF94938,2320,1
