Size,"Rated
Current
(A)",Open Execution 2P S-D,,,"Std.
Pkg.
(Nos.)",Open Execution TPN S-D *,,,"Std.
Pkg.
(Nos.)"
,,Type,Cat. No.,"M.R.P. (`)
Per Unit",,Type,Cat. No.,"M.R.P. (`)
Per Unit",
Fr 1,32,FN 32 2P,SK90418OOOO,1970,1,FN 32 TPN / 4P,SK95541OOOO,2590,1
,63,FN 63 2P,SK90419OOOO,2590,1,FN 63 TPN / 4P,SK95540OOOO,3270,1
Fr 2,100,FN 100 2P,SK90420OOOO,4670,1,FN 100 TPN,SK95571OOOO,5900,1
,125,FN 125 2P,SK90421OOOO,5840,1,FN 125 TPN,SK95405OOOO,6930,1
Fr 3,200,FN 200 2P,SK90450OOOO,9580,1,FN 200 TPN,SK95607OOOO,10890,1
,250,FN 250 2P,SK90454OOOO,10150,1,FN 250 TPN,SK95683OOOO,12490,1
Fr 4,315,FN 315 2P,SK90465OOOO,13400,1,FN 315 TPN,SK95609OOOO,14130,1
,400,FN 400 2P,SK90466OOOO,14980,1,FN 400 TPN,SK95610OOOO,18250,1
Fr 5,630,FN 630 2P,SK90467OOOO,24170,1,FN 630 TPN,SK95611OOOO,27910,1
,800,FN 800 2P,SK90468OOOO,25100,1,FN 800 TPN,SK95551OOOO,29230,1
,1000,FN 1000 2P,SK90469OOOO,33810,1,FN 1000 TPN,SK95710OOOO,49280,1
Fr 6,1000,-,-,-,-,C-Line SD 1000 4P$,COS1000OO4O,51640,1
,1250,-,-,-,-,C-Line SD 1250 4P$,COS1250OO4O,65580,1
,1600,-,-,-,-,C-Line SD 1600 4P$,COS1600OO4O,87490,1
,2000,-,-,-,-,C-Line SD 2000 4P$,COS2000OO4O,103850,1
