,Category,Type,"Rated
Current
(A)",3P,,,4P,,
,,,,Cat.Nos,MRP*/ ` /Unit,Pack,Cat.Nos,MRP*/ ` /Unit,Pack
,16 KA,DPX³ 160,"16
25
40
63
80
100
125
160",-,"-
-
-
-
-
-
-
-",-,4200 30,32992,1
,,,,-,,-,4200 31,32992,1
,,,,-,,-,4200 32,32992,1
,,,,-,,-,4200 33,32992,1
,,,,-,,-,4200 34,32992,1
,,,,-,,-,4200 35,32992,1
,,,,-,,-,4200 36,34800,1
,,,,-,,-,4200 37,44154,1
,25 KA,DPX³ 160,"16
25
40
63
80
100
125
160",-,"-
-
-
-
-
-
-
-",-,4200 70,41772,1
,,,,-,,-,4200 71,41772,1
,,,,-,,-,4200 72,41772,1
,,,,-,,-,4200 73,41772,1
,,,,-,,-,4200 74,41772,1
,,,,-,,-,4200 75,41772,1
,,,,-,,-,4200 76,41788,1
,,,,-,,-,4200 77,49330,1
,,DPX³ 250,"100
160
200
250",-,"-
-
-
-",-,4202 25,50358,1
,,,,-,,-,4202 27,52938,1
,,,,-,,-,4202 28,54986,1
,,,,-,,-,4202 29,58800,1
,36 KA,DPX³ 160,"16
25
40
63
80
100
125
160",-,"-
-
-
-
-
-
-
-",-,4201 10,50810,1
,,,,-,,-,4201 11,50810,1
,,,,-,,-,420112,50810,1
,,,,-,,-,4201 13,50810,1
,,,,-,,-,4201 14,50810,1
,,,,-,,-,4201 15,50810,1
,,,,-,,-,4201 16,51084,1
,,,,-,,-,4201 17,60762,1
,,DPX³ 250,"100
160
200
250",-,"-
-
-
-",-,4202 55,52570,1
,,,,-,,-,4202 57,61232,1
,,,,-,,-,4202 58,64222,1
,,,,-,,-,4202 59,68676,1
,50 KA,DPX³ 160,"16
25
40
63
80
100
125
160",-,"-
-
-
-
-
-
-
-",-,4201 50,58836,1
,,,,-,,-,4201 51,58836,1
,,,,-,,-,4201 52,58836,1
,,,,-,,-,4201 53,58836,1
,,,,-,,-,4201 54,58836,1
,,,,-,,-,4201 55,58836,1
,,,,-,,-,4201 56,62690,1
,,,,-,,-,4201 57,67094,1
,,DPX³ 250,"100
160
200
250",-,"-
-
-
-",-,4202 85,63086,1
,,,,-,,-,4202 87,73020,1
,,,,-,,-,4202 88,76938,1
,,,,-,,-,4202 89,81744,1
